DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/14/2018,11:30,BRONX,10458,40.85885,-73.885956,"(40.85885, -73.885956)",EAST FORDHAM ROAD               ,HOFFMAN STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Oversized Vehicle,,,,3881056,SPORT UTILITY / STATION WAGON,BU,,,
04/14/2018,11:30,BRONX,10469,40.880947,-73.85456,"(40.880947, -73.85456)",PAULDING AVENUE                 ,EAST 219 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3881489,PASSENGER VEHICLE,,,,
04/14/2018,11:30,QUEENS,11368,40.758026,-73.85776,"(40.758026, -73.85776)",NORTHERN BOULEVARD              ,112 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3881184,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,11:30,,,,,,BRONX RIVER PARKWAY             ,EAST FORDHAM ROAD,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,,,,,3880614,PASSENGER VEHICLE,,,,
04/14/2018,11:30,,,,,,CROSS BRONX EXPRESSWAY EXTENSION,RANDALL AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3881571,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,11:30,,,,,,ROCKAWAY BOULEVARD              ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Reaction to Other Uninvolved Vehicle,,,,3880705,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,11:35,,,40.710876,-74.01439,"(40.710876, -74.01439)",LIBERTY STREET                  ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3882279,BICYCLE,PASSENGER VEHICLE,,,
04/14/2018,11:40,MANHATTAN,10019,40.763824,-73.98974,"(40.763824, -73.98974)",,,419       WEST 50 STREET                ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3882462,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,11:40,QUEENS,11102,40.776546,-73.92377,"(40.776546, -73.92377)",19 STREET                       ,HOYT AVENUE NORTH,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3881052,PASSENGER VEHICLE,,,,
04/14/2018,11:45,BRONX,10455,40.81926,-73.90245,"(40.81926, -73.90245)",,,817       WESTCHESTER AVENUE            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3880775,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,11:45,BROOKLYN,11212,40.660408,-73.91256,"(40.660408, -73.91256)",,,116       RIVERDALE AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3880575,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,11:45,QUEENS,11694,40.58278,-73.83505,"(40.58278, -73.83505)",,,112-20    BEACH CHANNEL DRIVE           ,0,0,0,0,0,0,0,0,,,,,,3880546,,,,,
04/14/2018,11:45,,,40.700626,-73.9868,"(40.700626, -73.9868)",JAY STREET                      ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3880579,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
04/14/2018,11:45,,,40.710117,-73.81894,"(40.710117, -73.81894)",MANTON STREET                   ,MAIN STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,3880545,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,11:50,,,40.60459,-74.02212,"(40.60459, -74.02212)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3880595,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,11:50,BROOKLYN,11203,40.66131,-73.931885,"(40.66131, -73.931885)",,,863       MIDWOOD STREET                ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3882323,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
04/14/2018,12:00,MANHATTAN,10023,40.76889,-73.9821,"(40.76889, -73.9821)",BROADWAY                        ,WEST 60 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3881278,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,12:00,MANHATTAN,10032,40.84115,-73.942696,"(40.84115, -73.942696)",,,177       FORT WASHINGTON AVENUE        ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3881692,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,12:00,QUEENS,11378,40.718834,-73.90039,"(40.718834, -73.90039)",,,59-42     64 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,3880783,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,12:00,MANHATTAN,10039,40.823566,-73.93768,"(40.823566, -73.93768)",WEST 148 STREET                 ,7 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,,,3881294,SPORT UTILITY / STATION WAGON,,,,
04/14/2018,12:04,BRONX,10466,40.89466,-73.86137,"(40.89466, -73.86137)",EAST 233 STREET                 ,BRONX BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3880573,TAXI,SPORT UTILITY / STATION WAGON,,,
04/14/2018,12:25,,,40.78076,-73.825424,"(40.78076, -73.825424)",WHITESTONE EXPRESSWAY           ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3880851,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,12:27,,,40.652752,-73.88629,"(40.652752, -73.88629)",PENNSYLVANIA AVENUE             ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3882207,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,12:30,BRONX,10455,40.81436,-73.91904,"(40.81436, -73.91904)",,,474       WILLIS AVENUE                 ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3880776,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/14/2018,12:30,BROOKLYN,11214,40.59908,-74.00123,"(40.59908, -74.00123)",,,2064      CROPSEY AVENUE                ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3880583,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,12:30,BROOKLYN,11233,40.681713,-73.91152,"(40.681713, -73.91152)",ROCKAWAY AVENUE                 ,MARION STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3880582,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,12:30,MANHATTAN,10036,,,,12 AVENUE                       ,WEST 46 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3882474,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
